key,en,es
START,Start,Comenzar
CLAS,Scoreboard,Clasificación
EXIT,Exit,Salir
CREDITS_BUTTON,Credits,Créditos
VOLUMEN,Volume,Volumen
TUTORIAL_BUTTON,How to play,Cómo jugar
CREDITS,Game made by: ,Proyecto realizado por:
CREDITS2,Project made as the final project for the CFPS DAM ,Proyecto realizado como trabajo de fin de grado del Curso de Formación Superior de Desarrollo de Aplicaciones Multiplataforma
SCORELIST,Select a player,Selecciona un jugador
SCORELIST_TIME,Time:,Tiempo:
SCORELIST_KILLS,Kills:,Bajas:
SCORELIST_EXIT,Exit to menu,Salir al menú
HEAD,Head,Cabeza
BODY,Body,Cuerpo
LEFT,Left Arm,Brazo Izquierdo
RIGHT,Right Arm,Brazo Derecho
FEET,Legs,Piernas
UPGRADES,Upgrades:,Mejoras:
LEVEL,Active Level:,Nivel Activo:
SHAPEUP,Select a SHAPE to UP!,¡Selecciona la pieza a mejorar!
SCORE,Score:,Puntuación:
POSITION,You are the {position}th best player in\n the world!,Eres el {position}º mejor jugador\n del mundo!
NAME,Name:,Nombre:
UPLOAD,Upload Score,Subir Puntuación
WARNING_NAME_TITLE,Wait!,Un momento!
WARNING_NAME,You can’t upload your score without a name!,¡Necesitas un nombre para subir tu puntuación!
WARNING_EXIT_TITLE,Are you sure?,¡Espera!
WARNING_EXIT,Are you sure you want to leave without saving your score?,¿Seguro que quieres salir sin guardar la puntuacion?
YES,Yes,Si
SCORE_UPLOAD_TITLE,Done!,¡Hecho!
SCORE_UPLOAD,Your score have been uploaded!,¡Se ha subido tu puntuación!
SCORE_ERROR,There was an error. Check your connection,Ha ocurrido un error. Revisa tu conexión
SCORE_ERROR_TITLE,Ups!,Ups!
NAME_ERROR,Your name can’t have more than {characters} characters,Tu nombre no puede tener más de {characters} caracteres
POSITION_ERROR,Connection error,Error de conexión
PAUSE,Pause,Pausa
PAUSE_BACK,Exit to menu,Salir al Menú
PAUSE_RESUME,Resume,Volver
RAND_MSG1,The enemies are making strength potions,Los enemigos están desarrollando visión nocturna
RAND_MSG2,The enemies are flexing his muscles (they are so great),Los enemigos están flexeando sus músculos
RAND_MSG3,The enemies are training to run a marathon,Los enemigos se preparan para correr una maratón
RAND_MSG4,The cubes are sharpening their edges,Los cubos están afilando sus bordes
RAND_MSG5,The cubes are a little jealous about the rubiks cubes,Los cubos sienten envidia de los cubos de rubik
RAND_MSG6,The spheres are polishing themselves,Las esferas se están puliendo
RAND_MSG7,The spheres are rotating desperately,Las esferas ruedan con desesperación
RAND_MSG8,The cylindric cylinders are cylindering,Los cilindros cilindrean su cilindrada cilíndrica
RAND_MSG9,The cylinders are trying to be useful (they are not),Los cilindros aprendieron a ser útiles
RAND_MSG10,The peakamids are wondering why are they so great,Las peakamides se cuestionan porqué son tan buenas
RAND_MSG11,The pyramids are making conspiracy theories,Las pirámides están haciendo teorías cospiranoicas
RAND_MSG12,The enemies are mewing HARD,Los enemigos están haciendo mewing
RAND_MSG13,Supercalifragilisticexpialidocious...\nEnemies are trying to distract you,Supercalifragilisticoespialodoso...\nlos enemigos te intentan distraer…
RAND_MSG14,The enemies are leveling to reach the lv 100,Los enemigos están farmeando para subir a nv 100
RAND_MSG15,The enemies are getting REALLY nervous,Los enemigos se están poniendo MUY NERVIOSOS
RAND_MSG_A,An horde is coming!!,¡¡Se aproxima una horda!!
RAND_MSG_B,A boss is coming!!,¡¡Se aproxima un jefe!!
RAND_MSG_C,They are taking the server!!,¡¡Están dominando el server!!
DARK_NIGHT,This is going to be\n a terrible night,¡Esta noche oscura\nte tortura la locura!
TUTORIAL_EXIT,Exit the tutorial,Salir del tutorial
TUTORIAL_CONTINUE,Next,Continuar
TUTORIAL_MSG1,Welcome to Shape Up!\n(Click next to proceed),Bienvenido a Shape Up!\n (Haz click en continuar)
TUTORIAL_MSG2,Shape Up is a game where you will have to fight hordes\nof enemies while trying to stay alive as much time as possible,Shape up es un juego en el que tendrás que sobrevivir\na oleadas de enemigos durante el máximo tiempo posible
TUTORIAL_MSG3,"While defeating enemies you will get their\ncorresponding points of experience wich will help you\ngrow stronger, making surviving an easier task","Para ello tendrás que acabar con tus enemigos y\nobtener sus puntos de experiencia, los cuales te permitirán\nhacerte más fuerte y por tanto, sobrevivir más tiempo."
TUTORIAL_MSG4,Let’s see the elements of the game!,Observemos los elementos del juego!
TUTORIAL_MSG5,"This is your character, you will have to move\n and aim to the enemies to defeat them","Este eres tú, tendrás que moverte y\napuntar a los enemigos para derrotarlos"
TUTORIAL_MSG6,"This is your life bar, if the enemies hit you, it will go down.\nIf it reaches 0 the game will end","Esta es tu barra de vida, si los enemigos te golpean bajará,\nsi llega a cero acabará la partida."
TUTORIAL_MSG7,"This is your kill count,\nit will go up for each enemy you defeat","Este es el contador de bajas,\naquí se registrarán los enemigos que derrotes."
TUTORIAL_MSG8,"This is the timer of the game,\n¡try to survive as much time as possible!","Este es el tiempo de juego,\n¡intenta conseguir el máximo posible antes de quedarte sin salud!"
TUTORIAL_MSG9,The time you survive and the kills you get before ending the game\nwill determine your final score.\n¡Try to get the biggest to reach the first position of the global ranking!,"El tiempo de juego y las bajas que obtengas al terminar el juego\ndecidirán tu puntuación final,\n¡intenta llegar a la cima de la clasificación mundial!"
